iata,timezone,gmt_offset,offset_hours,name,city_code,country_id,latitude,longitude,elevation,icao
UGL,Antarctica/South_Pole,GMT +13:00,13,Union Glacier Blue-Ice Runway,UGL,AQ,-79.777778,-83.320833,2461,SCGC
SXW,Pacific/Port_Moresby,GMT +10:00,10,Sauren,SXW,PG,-5.971389,148.95305,177,AYSV
NDV,America/New_York,GMT -5:00,-5,USN Heliport,NDV,US,38.86667,-77,19,
EAP,Europe/Zurich,GMT +1:00,1,EuroAirport Basel-Mulhouse-Freiburg Airport,EAP,CH,47.59,7.529167,846,
NET,America/Nassau,GMT -5:00,-5,New Bight,NET,BS,24.3148241,-75.4576380366393,36,
MSK,America/Nassau,GMT -5:00,-5,Mastic Point,MSK,BS,25.033333,-78,29,
LYG,Asia/Shanghai,GMT +8:00,8,Lianyungang Airport,LYG,CN,34.57096,118.874756686636,52,ZSLG
YIG,America/Vancouver,GMT -8:00,-8,Big Bay Marina,YIG,CA,50.38333,-125.13333,0,CAF6
ACI,Europe/Guernsey,GMT +0:00,0,Alderney Airport,ACI,GB,49.70694185,-2.2144985971748,298,EGJA
ANT,Europe/Vienna,GMT +1:00,1,St Anton,ANT,AT,47.15,10.283333,5672,
APW,Pacific/Apia,GMT +13:00,13,Faleolo Airport,APW,WS,-13.832271,-171.999494,45,NSFA
LYI,Asia/Shanghai,GMT +8:00,8,Linyi Airport,LYI,CN,35.05260055,118.41027073429,187,ZSLY
LHB,America/Nome,GMT -9:00,-9,Lost Harbor Sea Port,LHB,US,54.233334,-165.6,0,
MZS,Asia/Kuching,GMT +8:00,8,Mostyn,MZS,MY,4.616667,118.15,223,
MDE,America/Bogota,GMT -5:00,-5,Jose Maria Cordova International Airport,MDE,CO,6.16640765,-75.4239457209452,6965,SKRG
MDH,America/Chicago,GMT -6:00,-6,Southern Illinois,MDH,US,37.7782221,-89.2503003,400,KMDH
YFL,America/Yellowknife,GMT -7:00,-7,Fort Reliance,YFL,CA,62.7,-109.13333,514,CJN8
YEP,America/Vancouver,GMT -8:00,-8,Estevan Point,YEP,CA,49.38333,-126.53333,0,
JTN,America/Sao_Paulo,GMT -3:00,-3,Antônio Ribeiro Nogueira Jr. State Airport,JTN,BR,-24.164722,-46.785556,10,SDIM
YGA,America/Montreal,GMT -5:00,-5,Gagnon,YGA,CA,51.95,-68.13333,700,CTU4
MDK,Africa/Kinshasa,GMT +1:00,1,Mbandaka,MDK,CD,0.02011615,18.2904094403429,1010,FZEA
LMV,Indian/Maldives,GMT +5:00,5,Madivaru Airport,LMV,MV,5.45798469788,73.3703800969,39,
LZC,America/Mexico_City,GMT -6:00,-6,Lazaro Cardenas Airport,LZC,MX,18.00309765,-102.219662652948,62,MMLC
AQP,America/Lima,GMT -5:00,-5,Rodriguez Ballon International Airport,AQP,PE,-16.3423105,-71.5689587883018,8346,SPQU
NKI,America/Anchorage,GMT -9:00,-9,Naukiti,NKI,US,55.36667,-133.21666,1630,AK62
YSV,America/Goose_Bay,GMT -4:00,-4,Saglek,YSV,CA,58.583332,-62.5,0,
AST,America/Los_Angeles,GMT -8:00,-8,Astoria,AST,US,46.15642245,-123.883009998832,16,KAST
TYC,Asia/Shanghai,GMT +8:00,8,Taiyuan Yaocheng Airport,TYC,CN,37.5027,112.4229,2487,ZBXX
YTI,America/Vancouver,GMT -8:00,-8,Triple Island,YTI,CA,-29.456944,142.06223,0,
LZH,Asia/Shanghai,GMT +8:00,8,Liuzhou Airport,LZH,CN,24.20767915,109.398557886666,318,ZGZH
MEC,America/Guayaquil,GMT -5:00,-5,Manta Airport,MEC,EC,-0.94690845,-80.6794999097125,26,SEMT
DZH,Asia/Shanghai,GMT +8:00,8,Dazhou Jinya Airport,DZH,CN,31.05057705,107.436982222975,1364,
EES,Africa/Cairo,GMT +2:00,2,Berenice International Airport,IUP,EG,23.980303,35.4500368569353,55,
YHA,America/St_Johns,GMT -3:00,-3,Port Hope Simpson,YHA,CA,52.52758035,-56.2807710031685,347,CCP4
KFZ,Europe/Tirane,GMT +1:00,1,Kukës International Airport,KFZ,AL,42.0342197,20.4161565260286,1135,LAKU
JTA,America/Fortaleza,GMT -3:00,-3,Pedro Teixeira Castelo Airport,JTA,BR,-5.93260025,-40.2959781458301,1457,SDZG
KJB,Asia/Kolkata,GMT +5:00,5,Uyyalawada Narasimha Reddy Airport,KJB,IN,15.7158696,78.1693148104587,920,VOKU
YPF,America/Vancouver,GMT -8:00,-8,Esquimalt,YPF,CA,48.4253301,-123.3904221,0,
EHU,Asia/Shanghai,GMT +8:00,8,Ezhou Huahu Airport,EHU,CN,30.346,115.0474,65,ZHEC
FZL,Asia/Baku,GMT +4:00,4,Fuzuli International Airport,FZL,AZ,39.5945705,47.1964348,1204,UBBF
KXB,Asia/Makassar,GMT +8:00,8,Sangia Nibandera Airport,PUM,ID,-4.3356094,121.524242255012,88,WAWP
GDR,America/Sao_Paulo,GMT -3:00,-3,Angra dos Reis Airport,GDR,BR,-22.975278,-44.307222,22,SDAG
HLJ,Asia/Shanghai,GMT +8:00,8,Beidahuang General Airport,HLJ,CN,46.7932345403,130.27009854,255,
HZU,Asia/Shanghai,GMT +8:00,8,Chengdu Huaizhou Airport,HZU,CN,30.67744769548,104.5295206131,1397,
NGR,Pacific/Port_Moresby,GMT +10:00,10,Ningerum,NGR,PG,-6.5,141,78,
MXQ,America/Sao_Paulo,GMT -3:00,-3,Lorenzo Airport,MXQ,BR,-13.389444,-38.91,22,SNCL
AFK,Asia/Colombo,GMT +5:00,5,Ampara Kondavattavan Tank Airport,ADP,LK,7.3421695432559,81.6293122055794,131,
JHF,America/Sao_Paulo,GMT -3:00,-3,São Paulo Catarina Executive Airport,JHF,BR,-23.426886,-47.165658,2562,SBJH
AGK,Pacific/Port_Moresby,GMT +10:00,10,Kagua,AGK,PG,-6.403333,143.84666,5554,
BLL,Europe/Copenhagen,GMT +1:00,1,Billund Airport,BLL,DK,55.740737,9.16039188432232,219,EKBI
CBA,America/Sitka,GMT -9:00,-9,Corner Bay,CBA,US,57.716667,-135.2,242,
JSB,America/Fortaleza,GMT -3:00,-3,Walfrido Salmito de Almeida Airport,JSB,BR,-4.05,-40.883333,2874,SWBE
ATH,Europe/Athens,GMT +2:00,2,Eleftherios Venizelos International Airport,ATH,GR,37.9372535,23.9546242863155,229,LGAV
TXC,Europe/Minsk,GMT +3:00,3,Balbasovo Air Base,TXC,BY,54.44,30.296667,620,UMIO
YLE,America/Yellowknife,GMT -7:00,-7,Wha Ti,YLE,CA,63.15,-117.26667,882,CEM3
UHS,Asia/Sakhalin,GMT +11:00,11,Aleksandrovsk-Sakhalinskiy Airport,UHS,RU,50.878037,142.174682,13,
MEH,Europe/Oslo,GMT +1:00,1,Mehamn Airport,MEH,NO,71.0298909,27.8245343,0,ENMH
ZMF,Europe/Rome,GMT +1:00,1,Beverello Harbor,NAP,IT,40.8400969,14.2516357,0,
MEI,America/Chicago,GMT -6:00,-6,Key Field,MEI,US,32.32774155,-88.7525782827135,278,KMEI
MEL,Australia/Melbourne,GMT +11:00,11,Tullamarine Airport,MEL,AU,-37.667111,144.833480766796,344,YMML
MEM,America/Chicago,GMT -6:00,-6,Memphis International Airport,MEM,US,35.04625645,-89.9768946651319,275,KMEM
